sElectionAbbr	lDistTypeHndl	szDistrictTypeOfficialDesc	lDistrictHndl	lParentDistHndl	sElecDistrictID	iElecSubDistrict	szElecDistrictName
2014June3 	42	Census Tract District (2010)	1080		ZT-625	0	2010 CT - 5021.01
2014June3 	42	Census Tract District (2010)	1081		ZT-626	0	2010 CT - 5021.02
2014June3 	42	Census Tract District (2010)	1082		ZT-627	0	2010 CT - 5022.01
2014June3 	42	Census Tract District (2010)	1083		ZT-628	0	2010 CT - 5022.02
2014June3 	42	Census Tract District (2010)	1084		ZT-629	0	2010 CT - 5023.01
2014June3 	42	Census Tract District (2010)	1085		ZT-630	0	2010 CT - 5023.02
2014June3 	42	Census Tract District (2010)	1086		ZT-631	0	2010 CT - 5024
2014June3 	42	Census Tract District (2010)	1087		ZT-632	0	2010 CT - 5025
2014June3 	42	Census Tract District (2010)	1088		ZT-633	0	2010 CT - 5026.01
2014June3 	42	Census Tract District (2010)	1089		ZT-634	0	2010 CT - 5026.03
2014June3 	42	Census Tract District (2010)	1090		ZT-635	0	2010 CT - 5026.04
2014June3 	42	Census Tract District (2010)	1091		ZT-636	0	2010 CT - 5027.01
2014June3 	42	Census Tract District (2010)	1092		ZT-637	0	2010 CT - 5027.02
2014June3 	42	Census Tract District (2010)	1093		ZT-638	0	2010 CT - 5028
2014June3 	42	Census Tract District (2010)	1094		ZT-639	0	2010 CT - 5029.01
2014June3 	42	Census Tract District (2010)	1095		ZT-640	0	2010 CT - 5029.02
2014June3 	42	Census Tract District (2010)	1096		ZT-641	0	2010 CT - 5029.03
2014June3 	42	Census Tract District (2010)	1097		ZT-642	0	2010 CT - 5029.06
2014June3 	42	Census Tract District (2010)	1098		ZT-643	0	2010 CT - 5029.07
2014June3 	42	Census Tract District (2010)	1099		ZT-644	0	2010 CT - 5029.08
2014June3 	42	Census Tract District (2010)	1100		ZT-645	0	2010 CT - 5029.09
2014June3 	42	Census Tract District (2010)	1101		ZT-646	0	2010 CT - 5029.10
2014June3 	42	Census Tract District (2010)	1102		ZT-647	0	2010 CT - 5030.01
2014June3 	42	Census Tract District (2010)	1103		ZT-648	0	2010 CT - 5030.02
2014June3 	42	Census Tract District (2010)	1104		ZT-649	0	2010 CT - 5030.03
2014June3 	42	Census Tract District (2010)	1105		ZT-650	0	2010 CT - 5031.05
2014June3 	42	Census Tract District (2010)	1106		ZT-651	0	2010 CT - 5031.08
2014June3 	42	Census Tract District (2010)	1107		ZT-652	0	2010 CT - 5031.10
2014June3 	42	Census Tract District (2010)	1108		ZT-653	0	2010 CT - 5031.11
2014June3 	42	Census Tract District (2010)	1109		ZT-654	0	2010 CT - 5031.12
2014June3 	42	Census Tract District (2010)	1110		ZT-655	0	2010 CT - 5031.13
2014June3 	42	Census Tract District (2010)	1111		ZT-656	0	2010 CT - 5031.15
2014June3 	42	Census Tract District (2010)	1112		ZT-657	0	2010 CT - 5031.16
2014June3 	42	Census Tract District (2010)	1113		ZT-658	0	2010 CT - 5031.17
2014June3 	42	Census Tract District (2010)	1114		ZT-659	0	2010 CT - 5031.18
2014June3 	42	Census Tract District (2010)	1115		ZT-660	0	2010 CT - 5031.21
2014June3 	42	Census Tract District (2010)	1116		ZT-661	0	2010 CT - 5031.22
2014June3 	42	Census Tract District (2010)	1117		ZT-662	0	2010 CT - 5031.23
2014June3 	42	Census Tract District (2010)	1118		ZT-663	0	2010 CT - 5032.04
2014June3 	42	Census Tract District (2010)	1122		ZT-667	0	2010 CT - 5032.11
2014June3 	42	Census Tract District (2010)	1120		ZT-665	0	2010 CT - 5032.08
2014June3 	42	Census Tract District (2010)	1121		ZT-666	0	2010 CT - 5032.10
2014June3 	42	Census Tract District (2010)	1123		ZT-668	0	2010 CT - 5032.12
2014June3 	42	Census Tract District (2010)	1124		ZT-669	0	2010 CT - 5032.13
2014June3 	42	Census Tract District (2010)	1125		ZT-670	0	2010 CT - 5032.14
2014June3 	42	Census Tract District (2010)	1126		ZT-671	0	2010 CT - 5032.17
2014June3 	42	Census Tract District (2010)	1127		ZT-672	0	2010 CT - 5032.18
2014June3 	42	Census Tract District (2010)	1128		ZT-673	0	2010 CT - 5033.04
2014June3 	42	Census Tract District (2010)	1129		ZT-674	0	2010 CT - 5033.05
2014June3 	42	Census Tract District (2010)	1130		ZT-675	0	2010 CT - 5033.06
2014June3 	42	Census Tract District (2010)	1131		ZT-676	0	2010 CT - 5033.12
2014June3 	42	Census Tract District (2010)	1132		ZT-677	0	2010 CT - 5033.13
2014June3 	42	Census Tract District (2010)	1133		ZT-678	0	2010 CT - 5033.15
2014June3 	42	Census Tract District (2010)	1134		ZT-679	0	2010 CT - 5033.21
2014June3 	42	Census Tract District (2010)	1135		ZT-680	0	2010 CT - 5033.22
2014June3 	42	Census Tract District (2010)	1136		ZT-681	0	2010 CT - 5033.23
2014June3 	42	Census Tract District (2010)	1137		ZT-682	0	2010 CT - 5033.24
2014June3 	42	Census Tract District (2010)	1138		ZT-683	0	2010 CT - 5033.25
2014June3 	42	Census Tract District (2010)	1139		ZT-684	0	2010 CT - 5033.26
2014June3 	42	Census Tract District (2010)	1119		ZT-664	0	2010 CT - 5032.07
2014June3 	42	Census Tract District (2010)	1140		ZT-685	0	2010 CT - 5033.27
2014June3 	42	Census Tract District (2010)	1141		ZT-686	0	2010 CT - 5033.29
2014June3 	42	Census Tract District (2010)	1142		ZT-687	0	2010 CT - 5033.30
2014June3 	42	Census Tract District (2010)	1143		ZT-688	0	2010 CT - 5033.31
2014June3 	42	Census Tract District (2010)	1144		ZT-689	0	2010 CT - 5033.32
2014June3 	42	Census Tract District (2010)	1145		ZT-690	0	2010 CT - 5033.33
2014June3 	42	Census Tract District (2010)	1146		ZT-691	0	2010 CT - 5033.34
2014June3 	42	Census Tract District (2010)	1147		ZT-692	0	2010 CT - 5033.36
2014June3 	42	Census Tract District (2010)	1148		ZT-693	0	2010 CT - 5033.37
2014June3 	42	Census Tract District (2010)	1149		ZT-694	0	2010 CT - 5034.01
