sElectionAbbr	iBalType	iContestID	iCalcCtstRotation
2014June3 	32	1080	4
2014June3 	32	1090	1
2014June3 	32	1100	2
2014June3 	32	1150	1
2014June3 	32	1310	0
2014June3 	32	2604	1
2014June3 	32	2621	2
2014June3 	32	2624	2
2014June3 	32	3001	1
2014June3 	32	4410	1
2014June3 	32	4420	1
2014June3 	32	4430	2
2014June3 	32	5200	0
2014June3 	32	5205	0
2014June3 	57	1030	13
2014June3 	57	1040	4
2014June3 	57	1050	4
2014June3 	63	1100	2
2014June3 	65	1040	4
2014June3 	95	2604	1
2014June3 	95	2621	2
2014June3 	95	2624	2
2014June3 	95	3001	1
2014June3 	95	4401	0
2014June3 	95	4410	1
2014June3 	95	4420	1
2014June3 	95	4430	2
2014June3 	96	1030	14
2014June3 	96	1040	5
2014June3 	96	1050	5
2014June3 	96	1060	5
2014June3 	96	1070	2
2014June3 	96	1080	1
2014June3 	96	1090	2
2014June3 	96	1100	1
2014June3 	96	1150	2
2014June3 	96	1340	0
2014June3 	96	2604	1
2014June3 	96	2621	1
2014June3 	96	2624	2
2014June3 	96	3001	2
2014June3 	96	4401	0
2014June3 	96	4410	1
2014June3 	96	4420	1
2014June3 	96	4430	1
2014June3 	97	1030	15
2014June3 	97	1040	6
2014June3 	97	1050	6
2014June3 	97	1060	6
2014June3 	97	1070	3
2014June3 	97	1080	2
2014June3 	97	1090	3
2014June3 	97	1100	2
2014June3 	97	1150	1
2014June3 	97	1370	0
2014June3 	97	2604	1
2014June3 	97	2621	2
2014June3 	97	2624	3
2014June3 	97	3001	3
2014June3 	97	4401	0
2014June3 	97	4410	1
2014June3 	97	4420	1
2014June3 	97	4430	2
2014June3 	98	1030	10
2014June3 	98	1040	1
2014June3 	98	1050	1
2014June3 	98	1060	1
2014June3 	98	1070	1
2014June3 	98	1080	4
2014June3 	98	1090	1
2014June3 	98	1100	2
2014June3 	98	1130	3
2014June3 	98	1310	0
2014June3 	98	2604	1
2014June3 	98	2621	2
2014June3 	98	2624	2
2014June3 	98	3001	1
2014June3 	98	4410	1
2014June3 	98	4420	1
2014June3 	98	4430	2
2014June3 	99	1030	10
2014June3 	99	1040	1
2014June3 	99	1050	1
2014June3 	99	1060	1
2014June3 	99	1070	1
2014June3 	99	1080	4
2014June3 	99	1090	1
2014June3 	99	1100	2
2014June3 	99	1150	1
2014June3 	99	1310	0
2014June3 	99	2604	1
2014June3 	99	2621	2
2014June3 	27	1030	12
2014June3 	27	1040	3
2014June3 	27	1050	3
2014June3 	27	1060	3
2014June3 	27	1070	3
2014June3 	27	1080	6
2014June3 	27	1090	3
2014June3 	27	1100	1
2014June3 	27	1150	2
2014June3 	27	1320	0
2014June3 	27	2604	1
2014June3 	27	2621	1
2014June3 	27	2624	3
2014June3 	27	3001	3
2014June3 	27	4410	1
2014June3 	27	4420	1
2014June3 	27	4430	1
2014June3 	27	5200	0
2014June3 	27	5207	0
2014June3 	28	1030	12
2014June3 	28	1040	3
2014June3 	28	1050	3
2014June3 	28	1060	3
2014June3 	28	1070	3
2014June3 	28	1080	6
2014June3 	28	1090	3
2014June3 	28	1100	1
2014June3 	28	1150	2
2014June3 	28	1320	0
2014June3 	28	2604	1
2014June3 	28	2621	1
2014June3 	28	2624	3
2014June3 	28	3001	3
2014June3 	28	4410	1
2014June3 	28	4420	1
2014June3 	28	4430	1
2014June3 	28	5200	0
2014June3 	28	5205	0
2014June3 	29	1030	10
2014June3 	29	1040	1
2014June3 	29	1050	1
2014June3 	29	1060	1
2014June3 	29	1070	1
2014June3 	29	1080	4
2014June3 	29	1090	1
